Waktu,PM10,PM₂‚₅,SO2,CO,O3,NO2,HC
2023-01-01,29.31,32.60,20.58,1648.42,25.09,62.35,14.92
2023-01-02,15.69,17.73,9.94,904.85,19.06,57.44,7.06
2023-01-03,6.13,7.23,8.81,692.76,26.67,56.38,3.43
2023-01-04,9.00,10.56,11.40,981.17,34.13,58.13,6.93
2023-01-05,7.54,8.73,9.46,883.25,41.69,60.23,6.77
2023-01-06,5.79,6.88,9.08,761.65,44.08,59.52,5.88
2023-01-07,8.56,9.71,14.10,1180.88,42.73,58.69,8.02
2023-01-08,5.46,6.35,10.19,753.60,47.44,57.73,6.08
2023-01-09,10.75,11.98,14.27,1205.19,46.46,58.48,7.90
2023-01-10,11.73,13.29,16.21,1362.29,45.52,58.65,8.81
2023-01-11,10.46,11.88,17.44,1407.64,44.48,58.10,9.83
2023-01-12,12.96,14.52,17.27,1399.60,44.67,58.23,9.29
2023-01-13,12.77,14.56,14.58,1160.00,47.69,58.04,7.06
2023-01-14,10.88,12.67,9.27,667.17,56.38,58.88,4.65
2023-01-15,10.42,12.02,8.29,568.60,58.69,58.21,4.19
2023-01-16,18.69,20.90,9.38,1210.29,31.04,57.79,7.98
2023-01-17,15.31,17.17,15.27,1583.75,42.98,58.31,9.33
2023-01-18,15.60,17.79,13.71,1265.44,48.40,58.63,7.39
2023-01-19,19.83,22.46,15.29,1343.83,47.10,59.21,8.42
2023-01-20,14.17,16.17,16.29,1520.83,46.31,60.81,9.52
2023-01-21,11.50,13.21,11.50,1106.38,51.42,61.50,6.58
2023-01-22,9.94,11.15,10.69,997.81,49.73,59.44,5.77
2023-01-23,8.02,9.23,10.79,828.79,56.46,59.29,5.66
2023-01-24,15.44,17.15,14.32,1253.21,58.33,61.13,5.94
2023-01-25,8.13,9.17,4.73,572.44,35.98,58.60,4.17
2023-01-26,7.34,8.61,13.13,1232.63,21.58,58.21,7.74
2023-01-27,10.35,11.73,14.92,1427.33,42.92,61.31,8.98
2023-01-28,26.71,29.48,13.04,1428.90,42.25,61.96,7.85
2023-01-29,18.81,20.96,15.44,1645.25,37.56,61.33,9.23
2023-01-30,29.17,31.94,22.25,2026.29,44.77,63.23,12.21
2023-01-31,9.23,10.58,14.21,1274.88,34.63,58.54,7.79
2023-02-01,10.56,12.10,12.98,1248.25,33.27,58.56,7.42
2023-02-02,18.75,20.79,11.29,1535.46,47.42,62.69,6.00
2023-02-03,21.52,23.79,15.67,1509.23,55.90,64.92,10.40
